# ----------------------------------------
# 1 Master View
# Zielgruppenübersicht
# 20210801-20210831
# ----------------------------------------

Index: Tag,Zeitraum,Segment,Nutzer
28.08.21,01.08.2021 - 31.08.2021,Alter 18-24,122
28.08.21,01.08.2021 - 31.08.2021,Alter 25-34,164
29.08.21,01.08.2021 - 31.08.2021,Alle Nutzer,1.437
29.08.21,01.08.2021 - 31.08.2021,Alter 18-24,132
29.08.21,01.08.2021 - 31.08.2021,Alter 25-34,177
30.08.21,01.08.2021 - 31.08.2021,Alle Nutzer,2.141
30.08.21,01.08.2021 - 31.08.2021,Alter 18-24,235
30.08.21,01.08.2021 - 31.08.2021,Alter 25-34,320
31.08.21,01.08.2021 - 31.08.2021,Alle Nutzer,2.265
31.08.21,01.08.2021 - 31.08.2021,Alter 18-24,243
31.08.21,01.08.2021 - 31.08.2021,Alter 25-34,376
,01.08.2021 - 31.08.2021,Alle Nutzer,61.673
,01.08.2021 - 31.08.2021,Alter 18-24,6.245
,01.08.2021 - 31.08.2021,Alter 25-34,9.358
